target,source,Date,value
barronkb45,realDonaldTrump,Second debate,19
BasedDJTrump,realDonaldTrump,Second debate,38
bbl58,realDonaldTrump,Second debate,55
Bbrown61Jr,realDonaldTrump,Second debate,24
beachgirl29_,realDonaldTrump,Second debate,26
BeautyofDamon,HillaryClinton,Second debate,50
beccakova,realDonaldTrump,Second debate,24
Beefareeno,JackiSchechner,Second debate,43
BeingSentinel,realDonaldTrump,Second debate,29
bekiroglusenol,HillaryClinton,Second debate,17
BelindaBee13,realDonaldTrump,Second debate,23
BelisaDavis,realDonaldTrump,Second debate,28
BelleForTrump,realDonaldTrump,Second debate,24
benkhaled02,DrJillStein,Second debate,25
BenRich22171508,realDonaldTrump,Second debate,20
BentleyforTrump,realDonaldTrump,Second debate,26
BerlinSandra78,HillaryClinton,Second debate,52
Bernadettea777,realDonaldTrump,Second debate,25
bettybooptru2,realDonaldTrump,Second debate,27
betz_carl,realDonaldTrump,Second debate,38
BevLover1,realDonaldTrump,Second debate,43
Bevsjoy1,realDonaldTrump,Second debate,28
bhamfascias,realDonaldTrump,Second debate,23
bholada,realDonaldTrump,Second debate,37
BHwordygirl,realDonaldTrump,Second debate,20
bigboater88,realDonaldTrump,Second debate,20
bigdemilovato1,realDonaldTrump,Second debate,32
BIGGIEJAK,realDonaldTrump,Second debate,35
BigLeague45th,realDonaldTrump,Second debate,32
bigpaulydew,realDonaldTrump,Second debate,31
BIGSHOWGIRL,HillaryClinton,Second debate,38
Bill_Tyler,realDonaldTrump,Second debate,31
Bill4TruthTrump,realDonaldTrump,Second debate,68
BillSFrank,realDonaldTrump,Second debate,21
billyluphpb,realDonaldTrump,Second debate,36
BirdieOiseau53,realDonaldTrump,Second debate,60
birdman8272,realDonaldTrump,Second debate,27
Birdseye1,HillaryClinton,Second debate,38
BJBrancher,realDonaldTrump,Second debate,66
bjcrochet,HillaryClinton,Second debate,20
BlacketerRobin,realDonaldTrump,Second debate,32
BlakeRoyale,realDonaldTrump,Second debate,32
blballew,realDonaldTrump,Second debate,32
BloqToday,realDonaldTrump,Second debate,33
BLRosenblatt,realDonaldTrump,Second debate,30
blu_yeti,realDonaldTrump,Second debate,20
blueruby8,realDonaldTrump,Second debate,19
Blunt8384,realDonaldTrump,Second debate,34
bmwdinorah57,HillaryClinton,Second debate,44
bobbiejorose482,realDonaldTrump,Second debate,26
bobinfanti,realDonaldTrump,Second debate,31
BooYond,BooYond,Second debate,43
BorisKogan7,realDonaldTrump,Second debate,38
BosePramesh,realDonaldTrump,Second debate,23
BowenSpence,realDonaldTrump,Second debate,26
BoycottHRC,realDonaldTrump,Second debate,29
boyd_luttrell,realDonaldTrump,Second debate,31
BoyPrate,realDonaldTrump,Second debate,30
BradHBishop,HillaryClinton,Second debate,26
BradThomsen,realDonaldTrump,Second debate,25
BraendeyMolson,realDonaldTrump,Second debate,30
BrajkovicDb,cnni,Second debate,18
bravehart60,realDonaldTrump,Second debate,45
BrendaDedad,realDonaldTrump,Second debate,21
Brett_Calabasas,realDonaldTrump,Second debate,31
BrianHearn4,realDonaldTrump,Second debate,44
BrianKohler2,realDonaldTrump,Second debate,13
bricks_woolard,HelloTeamTrump,Second debate,39
bril3133,realDonaldTrump,Second debate,52
BroloLee,realDonaldTrump,Second debate,18
brunellopizza,realDonaldTrump,Second debate,35
BuddyLowell,realDonaldTrump,Second debate,42
bugsfbunny,realDonaldTrump,Second debate,27
buoov1,realDonaldTrump,Second debate,29
ButchJocson,realDonaldTrump,Second debate,18
butterscotchglo,realDonaldTrump,Second debate,20
Byron23431358,realDonaldTrump,Second debate,14
C__Griffin,realDonaldTrump,Second debate,24
c446591fcb1a479,realDonaldTrump,Second debate,34
CAJUNTEXLADY,HillaryClinton,Second debate,44
cala_1111,realDonaldTrump,Second debate,35
CalebDHurt1,realDonaldTrump,Second debate,32
carmen42,HillaryClinton,Second debate,32
CarmenCammarat2,realDonaldTrump,Second debate,36
carnessa0203,realDonaldTrump,Second debate,11
Carolin42539648,realDonaldTrump,Second debate,16
CarolineSalfati,HillaryClinton,Second debate,58
carpet_bomber,realDonaldTrump,Second debate,31
CASINOFALLS,realDonaldTrump,Second debate,22
Cat_00005,realDonaldTrump,Second debate,34
Cate66,realDonaldTrump,Second debate,12
catfishgirl73,realDonaldTrump,Second debate,50
cathmac52,HillaryClinton,Second debate,25
caudill_ray,AmyDugan,Second debate,44
cauzenyattagirl,realDonaldTrump,Second debate,37
ccvoelkert,realDonaldTrump,Second debate,31
CDNolanAuthor,HillaryClinton,Second debate,60
Cecil3695Cecil,realDonaldTrump,Second debate,33
Cecil3695Cecil,WayneDupreeShow,Second debate,37
ceenone3,realDonaldTrump,Second debate,27
ceenone3,ThatTrumpGuy,Second debate,12
CharCharbag,realDonaldTrump,Second debate,27
charleskirby981,realDonaldTrump,Second debate,40
CharlesMunn1,DrJillStein,Second debate,59
Charlie_Hedrick,realDonaldTrump,Second debate,22
CharlieOnions,realDonaldTrump,Second debate,41
ChefJoeBoko,HillaryClinton,Second debate,25
cherbon6,realDonaldTrump,Second debate,53
CherieRogers01,realDonaldTrump,Second debate,30
cheryl888888,realDonaldTrump,Second debate,47
Chr1sle1ner,realDonaldTrump,Second debate,11
chrgdup1973,realDonaldTrump,Second debate,41
Chris_A_Turner,realDonaldTrump,Second debate,19
ChrisBachman3,HillaryClinton,Second debate,33
chrisbrow17,realDonaldTrump,Second debate,33
ChrisNoelMills,realDonaldTrump,Second debate,28
christhekaufman,realDonaldTrump,Second debate,23
ChristianeGal10,realDonaldTrump,Second debate,17
ChuckHi26599911,realDonaldTrump,Second debate,23
Chydotech,realDonaldTrump,Second debate,25
Cindlo95,realDonaldTrump,Second debate,14
Citizen_USA1,realDonaldTrump,Second debate,30
civello_cherise,realDonaldTrump,Second debate,19
clanceman65,realDonaldTrump,Second debate,41
ClaysteR97,realDonaldTrump,Second debate,32
cliffsiders,realDonaldTrump,Second debate,13
Clint_Goodrich,realDonaldTrump,Second debate,65
cmiboil,realDonaldTrump,Second debate,17
CNNIsFakeNews1,realDonaldTrump,Second debate,20
CoachInStands,HillaryClinton,Second debate,40
coffey_arthur,realDonaldTrump,Second debate,36
ColBannister,realDonaldTrump,Second debate,18
Coldriver7,realDonaldTrump,Second debate,23
combowelder44,realDonaldTrump,Second debate,30
ComicsConform,DrJillStein,Second debate,20
connie2589,realDonaldTrump,Second debate,26
conor444c,HillaryClinton,Second debate,81
ConservCuration,realDonaldTrump,Second debate,18
CookingConquest,realDonaldTrump,Second debate,22
couchtime2014,realDonaldTrump,Second debate,30
cowdresser,realDonaldTrump,Second debate,34
cplbhvac,realDonaldTrump,Second debate,42
crabb_patty,realDonaldTrump,Second debate,50
CrimsonInvestM,realDonaldTrump,Second debate,21
CristalLorianne,realDonaldTrump,Second debate,37
CrockettVice,realDonaldTrump,Second debate,35
Crowebar_67,realDonaldTrump,Second debate,34
crying_raven,realDonaldTrump,Second debate,36
CSHSold1,realDonaldTrump,Second debate,79
cuban2hot,realDonaldTrump,Second debate,27
CullumTammy,realDonaldTrump,Second debate,25
curvedcrayfish,HillaryClinton,Second debate,33
cut_the_crap_ec,realDonaldTrump,Second debate,29
Cuzz50,realDonaldTrump,Second debate,41
CvjClaude,realDonaldTrump,Second debate,27
Cyberdale1962,realDonaldTrump,Second debate,28
CyndiSanchez3,realDonaldTrump,Second debate,21
Cynthia_Jeanne3,realDonaldTrump,Second debate,46
CZekis,realDonaldTrump,Second debate,59
czonevet,realDonaldTrump,Second debate,47
DabyBaby,realDonaldTrump,Second debate,30
Dad_Trump2,realDonaldTrump,Second debate,42
DaleF3,DrJillStein,Second debate,13
daliafierro,realDonaldTrump,Second debate,88
dallas_413,realDonaldTrump,Second debate,17
damonbethea1,HillaryClinton,Second debate,45
Damonlhjr,realDonaldTrump,Second debate,27
DaneforTrump,realDonaldTrump,Second debate,18
DanielANestorJr,realDonaldTrump,Second debate,22
danielebarnes,realDonaldTrump,Second debate,20
danky58,realDonaldTrump,Second debate,56
DannyDshelton8,realDonaldTrump,Second debate,17
Darkman3500,realDonaldTrump,Second debate,35
DarleneRoo,realDonaldTrump,Second debate,18
datrumpnation1,realDonaldTrump,Second debate,29
david_macedo,realDonaldTrump,Second debate,37
david6161217,realDonaldTrump,Second debate,60
davidreisig1,realDonaldTrump,Second debate,29
DavidWestsir,realDonaldTrump,Second debate,25
DAVINLEWIS9,revolttv,Second debate,30
davis_levin,realDonaldTrump,Second debate,43
davisindy,realDonaldTrump,Second debate,48
DayJojo771980,HillaryClinton,Second debate,40
Dazie13,HelloTeamTrump,Second debate,43
de3459da36ec424,realDonaldTrump,Second debate,24
Deanaluvs,realDonaldTrump,Second debate,35
DeannePccn,realDonaldTrump,Second debate,46
debameyers,realDonaldTrump,Second debate,42
DebbieHoward213,HillaryClinton,Second debate,46
Debbierg51,realDonaldTrump,Second debate,46
DebHiers1,realDonaldTrump,Second debate,12
DebraJean43,realDonaldTrump,Second debate,26
debranovak88,realDonaldTrump,Second debate,21
delyju,realDonaldTrump,Second debate,34
Demure44Trump,realDonaldTrump,Second debate,27
DeniseAdame71,realDonaldTrump,Second debate,261
DeniseAdame71,TeamTrump,Second debate,37
deplorablelori,realDonaldTrump,Second debate,49
DeplorableTJ,realDonaldTrump,Second debate,54
DesdeFlorida,realDonaldTrump,Second debate,23
Devil_No_01,realDonaldTrump,Second debate,59
DevinHS,realDonaldTrump,Second debate,29
DgThejudge54,realDonaldTrump,Second debate,13
Diana631424761,realDonaldTrump,Second debate,13
DianeFPatel2,realDonaldTrump,Second debate,32
diangelobiaa,HillaryClinton,Second debate,49
DianneInIndiana,realDonaldTrump,Second debate,23
DiCristo13,realDonaldTrump,Second debate,36
digibd66,realDonaldTrump,Second debate,51
djamisc,realDonaldTrump,Second debate,25
djbratpack,VoteBlueErrbody,Second debate,35
dlkvaoh2015,realDonaldTrump,Second debate,36
dmgmater64,realDonaldTrump,Second debate,19
DMSMaven,realDonaldTrump,Second debate,23
dmstubbe,realDonaldTrump,Second debate,29
dochartdc,realDonaldTrump,Second debate,28
Don_Vito_08,realDonaldTrump,Second debate,26
don47,realDonaldTrump,Second debate,22
Donald_Trump_16,realDonaldTrump,Second debate,38
donaldmike2020,realDonaldTrump,Second debate,110
DonaldTrump_Rev,realDonaldTrump,Second debate,34
DONALDTRUMP259,realDonaldTrump,Second debate,32
donilo252525,DrJillStein,Second debate,13
DonnVahratian,cristinalaila1,Second debate,26
DonTrumpeone,realDonaldTrump,Second debate,45
Dovewoman1,HillaryClinton,Second debate,59
DR8801,realDonaldTrump,Second debate,19
Dragonflylady63,realDonaldTrump,Second debate,32
Drakensang22,realDonaldTrump,Second debate,101
DRAY317,realDonaldTrump,Second debate,25
DREANGELL,realDonaldTrump,Second debate,17
dreao2012,realDonaldTrump,Second debate,33
dru2u73,realDonaldTrump,Second debate,26
Druzzy89,realDonaldTrump,Second debate,33
DrWAVeSportCd1,HillaryClinton,Second debate,30
DShepUSA,realDonaldTrump,Second debate,65
dso07ochoa,dso07ochoa,Second debate,14
dswpage,HillaryClinton,Second debate,27
DubeAnjle,realDonaldTrump,Second debate,32
duckworks2505,realDonaldTrump,Second debate,39
DukeofEarlDD,realDonaldTrump,Second debate,33
dustbeanpark,realDonaldTrump,Second debate,31
DustinJ601,realDonaldTrump,Second debate,36
dweediecat,DrJillStein,Second debate,28
dyanjae,realDonaldTrump,Second debate,18
Dylan_Sandas,realDonaldTrump,Second debate,42
e289e68d980a474,realDonaldTrump,Second debate,17
eangels1064,HillaryClinton,Second debate,53
EASAINT,HillaryClinton,Second debate,71
ecastro977,realDonaldTrump,Second debate,54
ecwpunk81,HillaryClinton,Second debate,45
ecwpunk81,pattonoswalt,Second debate,21
ed_the_honest,realDonaldTrump,Second debate,60
edavid614,realDonaldTrump,Second debate,41
eddie_mcdow,realDonaldTrump,Second debate,16
edtop654,realDonaldTrump,Second debate,30
eettuan,realDonaldTrump,Second debate,25
EgbonBigbros,FoxNews,Second debate,24
EgryAni,FoxNews,Second debate,44
EileenTownsend4,realDonaldTrump,Second debate,38
EJLandwehr,EJLandwehr,Second debate,39
ELIASBEAUCHAMP,realDonaldTrump,Second debate,65
elitegirl28,realDonaldTrump,Second debate,38
ELLE_INTL,ELLE_INTL,Second debate,35
ElSportingSnarf,HillaryClinton,Second debate,30
ElvisFever,realDonaldTrump,Second debate,17
emilykholcomb,realDonaldTrump,Second debate,21
Empoleon28,realDonaldTrump,Second debate,33
enzomongelli,Maumol,Second debate,27
EqualityWorld,HillaryClinton,Second debate,12
eri_mk66,realDonaldTrump,Second debate,25
EricACowley,realDonaldTrump,Second debate,27
ericdive,realDonaldTrump,Second debate,32
ericksonr51,realDonaldTrump,Second debate,24
ernieHHI,realDonaldTrump,Second debate,23
EternalNikolas,HillaryClinton,Second debate,43
EuDestroyer,HillaryClinton,Second debate,36
eve1753cm,HelloTeamTrump,Second debate,35
EvelynSellers14,realDonaldTrump,Second debate,32
EversFam,PrisonPlanet,Second debate,28
EversFam,realDonaldTrump,Second debate,89
EyeGloArts,realDonaldTrump,Second debate,30
faagifts,realDonaldTrump,Second debate,76
facIubeband,FaClubeBand,Second debate,23
factiod,realDonaldTrump,Second debate,37
FanOfGreenMMs,realDonaldTrump,Second debate,54
fcdpainting,realDonaldTrump,Second debate,42
felixthecat63,realDonaldTrump,Second debate,24
fhodgers,HillaryClinton,Second debate,32
fight4women,HillaryClinton,Second debate,37
fionataylor666,realDonaldTrump,Second debate,20
Firedawg78,realDonaldTrump,Second debate,30
firstcontactnow,realDonaldTrump,Second debate,16
FishManwaters,realDonaldTrump,Second debate,28
fjski3,realDonaldTrump,Second debate,31
fjvillafana,realDonaldTrump,Second debate,32
fluffylupa1,realDonaldTrump,Second debate,27
FluffySays,HillaryClinton,Second debate,35
flwnemp,realDonaldTrump,Second debate,16
FLYNNmpc,realDonaldTrump,Second debate,39
focusonamerica,HillaryClinton,Second debate,55
footyfootygoal,realDonaldTrump,Second debate,51
Fortepiecat,realDonaldTrump,Second debate,38
FosheeJohn51,TomiLahren,Second debate,40
Frankbonnke,realDonaldTrump,Second debate,23
frankth91817434,realDonaldTrump,Second debate,32
FranNavin,realDonaldTrump,Second debate,22
fred9038,realDonaldTrump,Second debate,13
FredFredlopez8,realDonaldTrump,Second debate,30
Freedom1776__,realDonaldTrump,Second debate,37
FreedomChild3,realDonaldTrump,Second debate,28
FreedomForAllHQ,realDonaldTrump,Second debate,14
FreedomFrayed,realDonaldTrump,Second debate,43
freefollow2127,HillaryClinton,Second debate,65
freemynx,realDonaldTrump,Second debate,24
frLarousse2,realDonaldTrump,Second debate,56
froogoo21,realDonaldTrump,Second debate,29
FrostyGPW,realDonaldTrump,Second debate,15
fsalas19441,realDonaldTrump,Second debate,30
funder,funder,Second debate,11
Futur3Fo3,HillaryClinton,Second debate,24
G0701Trump,realDonaldTrump,Second debate,18
Gabi4Trump,realDonaldTrump,Second debate,11
galvarezj,HillaryClinton,Second debate,47
garland_paige,HillaryClinton,Second debate,22
GarrickSobeski,realDonaldTrump,Second debate,35
GaryFSmith411,realDonaldTrump,Second debate,64
Gavenslol,realDonaldTrump,Second debate,33
GaySideWinder,HillaryClinton,Second debate,35
gd12knw,realDonaldTrump,Second debate,29
georgefayner,HillaryClinton,Second debate,45
GeorgiaDaskalos,realDonaldTrump,Second debate,18
Gift2USA,HillaryClinton,Second debate,86
GillisRosie,realDonaldTrump,Second debate,21
ginap4462,realDonaldTrump,Second debate,23
GinHay,realDonaldTrump,Second debate,31
ginobravo1,realDonaldTrump,Second debate,43
Gitte35,realDonaldTrump,Second debate,50
GKomlos,realDonaldTrump,Second debate,35
gladysrocha211,realDonaldTrump,Second debate,17
glendabelle_11,realDonaldTrump,Second debate,25
glenmpope,realDonaldTrump,Second debate,108
GlennLittle5,realDonaldTrump,Second debate,39
Gluk78355651,realDonaldTrump,Second debate,26
Go4Trump2020,realDonaldTrump,Second debate,31
GoBobbieDelany,realDonaldTrump,Second debate,25
GodforTrump,realDonaldTrump,Second debate,29
GodlessNZ,realDonaldTrump,Second debate,28
GodLovesPeace30,realDonaldTrump,Second debate,18
GoDonaldTrump,realDonaldTrump,Second debate,33
GoettleEva,realDonaldTrump,Second debate,16
goodbyesocialm,realDonaldTrump,Second debate,55
goodventure2004,realDonaldTrump,Second debate,27
GoogleInfinity,realDonaldTrump,Second debate,48
gotallier,HillaryClinton,Second debate,37
gotapointtomake,gotapointtomake,Second debate,25
gotapointtomake,realDonaldTrump,Second debate,58
gotmyattention2,realDonaldTrump,Second debate,25
gracia_lisy,realDonaldTrump,Second debate,25
gracny,realDonaldTrump,Second debate,28
GrandeBabbo69,realDonaldTrump,Second debate,31
graycsam,realDonaldTrump,Second debate,22
GreenieandTink,realDonaldTrump,Second debate,45
grey_ghost47,realDonaldTrump,Second debate,27
grey_sister,HillaryClinton,Second debate,35
greysanatomy112,greysanatomy112,Second debate,17
grimsingerk,realDonaldTrump,Second debate,56
GROUNDZERO1984,realDonaldTrump,Second debate,79
GrrrUSA,realDonaldTrump,Second debate,33
gsears1968,nomiprins,Second debate,18
gthale1,HillaryClinton,Second debate,33
Guorami7288,HillaryClinton,Second debate,53
Gway2500,realDonaldTrump,Second debate,22
Gwydion620,HillaryClinton,Second debate,24
h_hungry_hippo,realDonaldTrump,Second debate,18
Hack031958,realDonaldTrump,Second debate,33
hakon_krog,HillaryClinton,Second debate,48
HalleyBorderCol,realDonaldTrump,Second debate,31
hallmarkm1,realDonaldTrump,Second debate,66
HarrytheHat714,realDonaldTrump,Second debate,20
harvey02,realDonaldTrump,Second debate,24
HashemLovesYou,realDonaldTrump,Second debate,37
hbsdml,realDonaldTrump,Second debate,28
He1FineArtist,CNN,Second debate,27
heapset,realDonaldTrump,Second debate,47
heatherlyba,HillaryClinton,Second debate,58
heiressarts,realDonaldTrump,Second debate,16
hellnowaytogo,realDonaldTrump,Second debate,45
HenselWh,realDonaldTrump,Second debate,17
Hermes23,realDonaldTrump,Second debate,45
heyandrebu,realDonaldTrump,Second debate,33
Hillary4IE,HillaryClinton,Second debate,15
HillaryFan2016,HillaryClinton,Second debate,44
HollyCarolEarls,FoxNews,Second debate,29
HollyCarolEarls,realDonaldTrump,Second debate,35
HollyCarolEarls,TeamTrump,Second debate,19
HollywoodForHRC,HillaryClinton,Second debate,36
honeybunchesof8,realDonaldTrump,Second debate,23
Hookie10,FoxNews,Second debate,15
Hostage_Notes,DrJillStein,Second debate,21
hourilo,realDonaldTrump,Second debate,26
HouseofBull,realDonaldTrump,Second debate,115
HoustonWelder,realDonaldTrump,Second debate,21
hrblock_21,FoxNews,Second debate,55
hrblock_21,realDonaldTrump,Second debate,25
HugaDream,realDonaldTrump,Second debate,19
HYfangzi,FoxNews,Second debate,61
HYfangzi,realDonaldTrump,Second debate,28
ibarstool,realDonaldTrump,Second debate,17
icare4america16,realDonaldTrump,Second debate,29
idawhannadoyou,realDonaldTrump,Second debate,39
ideate_vision,HillaryClinton,Second debate,39
Idgie4Nelda4m,realDonaldTrump,Second debate,44
Ignacioapro,realDonaldTrump,Second debate,32
III_R_III,realDonaldTrump,Second debate,40
IIIIshtar,realDonaldTrump,Second debate,32
iiv13,realDonaldTrump,Second debate,25
iKeferKhaso,realDonaldTrump,Second debate,19
IleeCarr,realDonaldTrump,Second debate,29
illuminateheros,realDonaldTrump,Second debate,18
IlovetheUSA4,realDonaldTrump,Second debate,40
Immune30,realDonaldTrump,Second debate,21
inglamwetrust,HillaryClinton,Second debate,61
inittowinit007,realDonaldTrump,Second debate,18
InTheElections,realDonaldTrump,Second debate,30
ioanamartin,HillaryClinton,Second debate,26
Irishclover573,realDonaldTrump,Second debate,51
IRISHHEAVYT,realDonaldTrump,Second debate,32
IsaiahJuuko,FoxNews,Second debate,22
isalink,HillaryClinton,Second debate,47
isavega2017,realDonaldTrump,Second debate,17
ish10040,realDonaldTrump,Second debate,18
IsHillarySucks,realDonaldTrump,Second debate,11
islandnae,realDonaldTrump,Second debate,44
islandnae,TeamTrump,Second debate,16
Ismail_Jahan1,realDonaldTrump,Second debate,29
Italians4Trump,realDonaldTrump,Second debate,62
iwasthere102908,realDonaldTrump,Second debate,34
J_A_Wetherbee96,HillaryClinton,Second debate,45
Jack_Communist,realDonaldTrump,Second debate,57
JackieV83872804,HillaryClinton,Second debate,63
JacobZobeck,realDonaldTrump,Second debate,24
jacquiecamera,realDonaldTrump,Second debate,28
jairochl,realDonaldTrump,Second debate,27
JamesAllinger,realDonaldTrump,Second debate,15
JamesAWitomski,realDonaldTrump,Second debate,49
jamescoleman07,HillaryClinton,Second debate,42
JamesFMullins2,realDonaldTrump,Second debate,28
jamesplake721,realDonaldTrump,Second debate,18
JamesPomeroy8,realDonaldTrump,Second debate,48
jamieb373,realDonaldTrump,Second debate,56
jane9668,HillaryClinton,Second debate,37
janismclaren1,realDonaldTrump,Second debate,36
japsr1176,realDonaldTrump,Second debate,65
JARME,realDonaldTrump,Second debate,26
JasminBreezey,realDonaldTrump,Second debate,28
jaxsonteller316,realDonaldTrump,Second debate,16
jay_ochrymowicz,HillaryClinton,Second debate,14
JAYBOY6930,realDonaldTrump,Second debate,53
Jaycin71,realDonaldTrump,Second debate,20
JayCraigen,realDonaldTrump,Second debate,26
Jayne720,realDonaldTrump,Second debate,52
JayTay36,realDonaldTrump,Second debate,22
Jayzamani_,HillaryClinton,Second debate,47
Jayzamani_,realDonaldTrump,Second debate,31
JC3Me2,realDonaldTrump,Second debate,67
Jdemrick,realDonaldTrump,Second debate,28
Jeannightbird,realDonaldTrump,Second debate,37
Jeca2022,realDonaldTrump,Second debate,54
jeffld,realDonaldTrump,Second debate,33
Jeffrey52095461,realDonaldTrump,Second debate,31
JenLynnOh,realDonaldTrump,Second debate,36
JennavilaAvila,realDonaldTrump,Second debate,36
JeremyManning36,realDonaldTrump,Second debate,23
jerrybthebuild,realDonaldTrump,Second debate,47
jerrymeister69,realDonaldTrump,Second debate,31
Jess5994,realDonaldTrump,Second debate,34
jessbriis,realDonaldTrump,Second debate,11
jetrotter,realDonaldTrump,Second debate,23
jhorne24746260,realDonaldTrump,Second debate,29
JiffyJaffe,realDonaldTrump,Second debate,42
Jim_Peoples_,realDonaldTrump,Second debate,53
Jimbobbarley,realDonaldTrump,Second debate,40
JimMeekII1,realDonaldTrump,Second debate,22
Jimmygkey,realDonaldTrump,Second debate,22
jizzi1,realDonaldTrump,Second debate,27
jjmikemike,realDonaldTrump,Second debate,23
jjqb1,HillaryClinton,Second debate,51
jjraegirl,realDonaldTrump,Second debate,36
jjsjulia,realDonaldTrump,Second debate,15
jjupv4,realDonaldTrump,Second debate,27
jkellypatterson,realDonaldTrump,Second debate,37
joebennett4321,realDonaldTrump,Second debate,24
JoeSouthfields,realDonaldTrump,Second debate,34
joeythomas66,realDonaldTrump,Second debate,30
john_siracusa,realDonaldTrump,Second debate,51
JohnLester,realDonaldTrump,Second debate,44
JOHNNDIBELLO,realDonaldTrump,Second debate,32
JohnnyDgucci,HillaryClinton,Second debate,14
JohnPena03,realDonaldTrump,Second debate,32
Johnt4jc,HillaryClinton,Second debate,18
johnwarren251,realDonaldTrump,Second debate,15
Jojo_Lovejoy,HillaryClinton,Second debate,32
JoleneJackson14,HillaryClinton,Second debate,64
joleonbusby,CNN,Second debate,71
Jollarn,realDonaldTrump,Second debate,45
JoLoDiBenedetto,realDonaldTrump,Second debate,16
jonnypay,realDonaldTrump,Second debate,12
jordanbaglivi,realDonaldTrump,Second debate,32
JordanCavs2,realDonaldTrump,Second debate,27
josephine_dirt,realDonaldTrump,Second debate,22
JosephMonaco,realDonaldTrump,Second debate,15
Josh_Impinto83,HillaryClinton,Second debate,25
JoshDantzler,realDonaldTrump,Second debate,30
JoyfulGrandma,realDonaldTrump,Second debate,31
jrdrlz,realDonaldTrump,Second debate,35
JrSoulPtrl,realDonaldTrump,Second debate,43
JSmith2o10,realDonaldTrump,Second debate,26
jtblogs,realDonaldTrump,Second debate,51
Juan_A_Llorente,FoxNews,Second debate,90
Juan1250Mexico,HillaryClinton,Second debate,29
JudiLoera,realDonaldTrump,Second debate,17
judy716,realDonaldTrump,Second debate,17
JudyAPet,realDonaldTrump,Second debate,34
judybg44,realDonaldTrump,Second debate,48
judycharlesjc,realDonaldTrump,Second debate,19
juicywas,HillaryClinton,Second debate,34
JulieCa92128716,realDonaldTrump,Second debate,38
juliercrenshaw,realDonaldTrump,Second debate,26
june_fours,realDonaldTrump,Second debate,29
junecrotty,realDonaldTrump,Second debate,34
juntlord,realDonaldTrump,Second debate,35
JustADude969,realDonaldTrump,Second debate,20
JustinTDo1,realDonaldTrump,Second debate,59
justkjellberg,justanactor,Second debate,28
jvasconcelosh,HillaryClinton,Second debate,42
jwhite1302,realDonaldTrump,Second debate,19
jwoods28083,realDonaldTrump,Second debate,18
k672vv,realDonaldTrump,Second debate,20
KA320K,HillaryClinton,Second debate,24
KahlerSabrina,HelloTeamTrump,Second debate,98
KAIJUKING23,HillaryClinton,Second debate,72
KaijuZ,Nash076,Second debate,21
KalikaLaw,realDonaldTrump,Second debate,27
kalitzlina,realDonaldTrump,Second debate,29
kanegop,realDonaldTrump,Second debate,20
kapilt41,CNN,Second debate,21
karenbradynj,realDonaldTrump,Second debate,36
karmasenz,realDonaldTrump,Second debate,36
KarrieGlover5,realDonaldTrump,Second debate,21
Katheri47613526,realDonaldTrump,Second debate,31
KatherineHepke,realDonaldTrump,Second debate,15
katlivezey,realDonaldTrump,Second debate,21
kbanuseckin,DrJillStein,Second debate,15
Kbarker1973,realDonaldTrump,Second debate,31
kcarrollworld,pewresearch,Second debate,16
KdredKarl,realDonaldTrump,Second debate,20
kelleyh1961,realDonaldTrump,Second debate,21
KeniticChoy,DrJillStein,Second debate,57
kennygmanno,realDonaldTrump,Second debate,32
KenTitus77,realDonaldTrump,Second debate,41
KeoniGohan,realDonaldTrump,Second debate,31
KetzerHexe,realDonaldTrump,Second debate,36
kevin_ogey,realDonaldTrump,Second debate,30
KevinClipner1,realDonaldTrump,Second debate,35
kevinslo1078,HillaryClinton,Second debate,47
KFrangieh,realDonaldTrump,Second debate,49
KGarchar,realDonaldTrump,Second debate,54
kgsuns,realDonaldTrump,Second debate,22
Khunter15,realDonaldTrump,Second debate,35
kianxcam,tyleroakley,Second debate,12
Kiljoywasntbeer,realDonaldTrump,Second debate,20
killerkaush,realDonaldTrump,Second debate,24
KimDavid927,realDonaldTrump,Second debate,18
KimJacobson16,realDonaldTrump,Second debate,44
KimRoberts316,realDonaldTrump,Second debate,43
Kindhearted2015,realDonaldTrump,Second debate,29
KingShotta_G5,realDonaldTrump,Second debate,20
KirkLarkin,DrJillStein,Second debate,11
kisster1,realDonaldTrump,Second debate,29
kitten0626,realDonaldTrump,Second debate,28
KJPritchard4,realDonaldTrump,Second debate,53
kkalmes2,JoyAnnReid,Second debate,57
kldreams61,realDonaldTrump,Second debate,38
klummer2009,realDonaldTrump,Second debate,12
Knox64Knox,DrJillStein,Second debate,46
konzia,realDonaldTrump,Second debate,21
koolgam3r,realDonaldTrump,Second debate,19
Korny247,JoyAnnReid,Second debate,14
KristiRobins10,realDonaldTrump,Second debate,47
KroekerTony,realDonaldTrump,Second debate,32
KSagasser,realDonaldTrump,Second debate,36
ksudesai,realDonaldTrump,Second debate,34
kuutweeting,HillaryClinton,Second debate,24
Ky4TrumpMAGA,realDonaldTrump,Second debate,38
kyle_haleyeah,realDonaldTrump,Second debate,54
kyleraccio,realDonaldTrump,Second debate,19
ladyfinger2221,realDonaldTrump,Second debate,31
ladyfortruth,realDonaldTrump,Second debate,30
LadyG8tor51,realDonaldTrump,Second debate,54
ladykatrina3,realDonaldTrump,Second debate,41
LadyPatriot777,realDonaldTrump,Second debate,29
