state,elected,preferred_candidate1,polarity1,subjectivity1,top_theme_1_1,top_theme_2_1,top_theme_3_1,net_candidate_score1,trump_candidate1,trump_polarity1,trump_subjectivity1,hillary_candidate1,hillary_polarity1,hillary_subjectivity1,preferred_candidate2,polarity2,subjectivity2,top_theme_1_2,top_theme_2_2,top_theme_3_2,net_candidate_score2,trump_candidate2,trump_polarity2,trump_subjectivity2,hillary_candidate2,hillary_polarity2,hillary_subjectivity2,preferred_candidate3,polarity3,subjectivity3,top_theme_1_3,top_theme_2_3,top_theme_3_3,net_candidate_score3,trump_candidate3,trump_polarity3,trump_subjectivity3,hillary_candidate3,hillary_polarity3,hillary_subjectivity3,preferred_candidate4,polarity4,subjectivity4,top_theme_1_4,top_theme_2_4,top_theme_3_4,net_candidate_score4,trump_candidate4,trump_polarity4,trump_subjectivity4,hillary_candidate4,hillary_polarity4,hillary_subjectivity4,preferred_candidate5,polarity5,subjectivity5,top_theme_1_5,top_theme_2_5,top_theme_3_5,net_candidate_score5,trump_candidate5,trump_polarity5,trump_subjectivity5,hillary_candidate5,hillary_polarity5,hillary_subjectivity5
Kentucky,Donald Trump,Donald Trump,0.089704657,0.281067539,Jobs,Benghazi,Racial Issues,0.501310268,0.127420999,0.077963429,0.258630882,-0.373889269,-0.002892347,0.325953648,Donald Trump,0.10064009,0.297591276,Jobs,Make America Great Again,Tax,0.196001227,0,0.08382175,0.29591198,-0.196001227,0.027930752,0.297997353,Donald Trump,0.053972863,0.311008679,Women,Make America Great Again,Racial Issues,0.224220919,0.049268119,0.060134992,0.302786036,-0.174952801,0.052334433,0.380227926,Donald Trump,0.071113148,0.316821098,Obama,Benghazi,Foreign Policy,0.194992046,0,0.068546378,0.340158245,-0.194992046,0.023473419,0.322062267,Donald Trump,0.125984318,0.298433824,Racial Issues,Women,Make America Great Again,0.073968351,-0.090055748,0.164592253,0.312490235,-0.164024099,0.139312713,0.307212912
Louisiana,Donald Trump,Donald Trump,0.098159901,0.279905896,Benghazi,Tax,Jobs,0.55949278,0.157815631,0.106813552,0.297053409,-0.401677149,0.004388689,0.324912432,Donald Trump,0.100194499,0.302772668,Jobs,Women,Benghazi,0.181558723,0,0.074807831,0.272574179,-0.181558723,0.029437133,0.311712961,Donald Trump,0.059353154,0.307342016,Women,Racial Issues,Tax,0.145219471,0.042805755,0.060607154,0.269200551,-0.102413715,0.041125498,0.352032696,Donald Trump,0.047069235,0.310437265,Jobs,Women,Benghazi,0.408348971,0,0.082302897,0.351079597,-0.408348971,0.004583595,0.28978069,Hillary Clinton,0.077172872,0.250877886,Racial Issues,Make America Great Again,Jobs,-0.02902303,-0.352760196,0.126264708,0.276508294,-0.323737167,0.093600345,0.227379227
Maine,Hillary Clinton,Donald Trump,0.062046501,0.281800933,Tax,Foreign Policy,Benghazi,0.060918511,0,-0.007317302,0.303002717,-0.060918511,0.057560332,0.377161023,Hillary Clinton,0.035116953,0.293230813,Women,Tax,Racial Issues,-0.113363437,0,0.005505681,0.394593684,0.113363437,-0.048086124,0.170921986,Donald Trump,0.020786848,0.306312615,Women,Foreign Policy,Obama,0.218131773,0,0.010627813,0.32032839,-0.218131773,-0.013343256,0.393365426,Donald Trump,0.055383851,0.309767714,Women,The Wall,Racial Issues,0.232125959,0,0.082864031,0.240978163,-0.232125959,0.103605449,0.282877691,Donald Trump,0.119755454,0.32851904,Make America Great Again,Racial Issues,Jobs,0.103511777,0.117260952,0.253308171,0.395739669,0.013749174,-0.048774126,0.668231612
Maryland,Hillary Clinton,Hillary Clinton,0.076280626,0.283754128,Jobs,Racial Issues,Benghazi,-0.044776119,0,0.051460532,0.294771715,0.044776119,0.090262516,0.32408185,Donald Trump,0.07435361,0.293648894,Women,Jobs,Law,0.010321358,0,0.032366758,0.287604333,-0.010321358,0.04072818,0.336031233,Hillary Clinton,0.036059244,0.311646297,Make America Great Again,Obama,Racial Issues,-0.1041852,0,0.018779721,0.303847615,0.1041852,0.100905571,0.405716338,Hillary Clinton,0.060701805,0.336610464,Jobs,Women,Obama,-0.137527161,0,0.019208072,0.335093691,0.137527161,0.056247191,0.36076621,Hillary Clinton,0.092757379,0.268342033,Make America Great Again,Racial Issues,Women,-0.019451938,-0.064913634,0.167080561,0.295444601,-0.045461696,0.148735938,0.204561284
Massachusetts,Hillary Clinton,Donald Trump,0.075979952,0.278821166,Jobs,Racial Issues,Foreign Policy,0.004072368,0,0.080571728,0.270130841,-0.004072368,0.109108436,0.356241034,Hillary Clinton,0.079799793,0.291432618,Women,Jobs,,-0.049220178,0,0.049767847,0.29446994,0.049220178,0.042338275,0.321609793,Hillary Clinton,0.051263543,0.31367853,Racial Issues,Women,Make America Great Again,-0.027388495,0,0.045671603,0.305349078,0.027388495,0.10747864,0.411044215,Donald Trump,0.044618094,0.330875074,Jobs,Make America Great Again,Obama,0.021491025,0,0.032044034,0.331630517,-0.021491025,0.055054205,0.393981939,Donald Trump,0.10920164,0.284089546,Make America Great Again,Racial Issues,Women,0.047601315,0.054460705,0.141860375,0.281023011,0.00685939,0.170897884,0.274272222
Michigan,Donald Trump,Donald Trump,0.08694282,0.281256901,Jobs,Obama,Tax,0.10998451,0,0.073319088,0.290170814,-0.10998451,0.072622769,0.344899907,Donald Trump,0.094035466,0.300015514,Jobs,Women,Tax,0.124908758,0,0.06885268,0.286219359,-0.124908758,0.045762072,0.316539068,Hillary Clinton,0.050484909,0.308374611,Women,Obama,Tax,-0.004249203,0,0.04277366,0.300449704,0.004249203,0.078039575,0.376737713,Donald Trump,0.055166573,0.324385039,Jobs,Abortion,Benghazi,0.080344583,0,0.052728444,0.334989544,-0.080344583,0.042211087,0.350854849,Donald Trump,0.098354007,0.276882687,Racial Issues,Make America Great Again,Women,0.065887557,-0.053839448,0.152945359,0.29300777,-0.119727005,0.1268893,0.290715826
Minnesota,Hillary Clinton,Hillary Clinton,0.080001564,0.287067091,Jobs,Foreign Policy,Global Warming,-0.046995846,0,0.066356281,0.282898392,0.046995846,0.127198609,0.356149261,Hillary Clinton,0.067611613,0.282148836,Jobs,Law,Tax,-0.188103213,0,0.03499995,0.296036629,0.188103213,0.060603148,0.314412326,Hillary Clinton,0.039779653,0.316674344,Women,Tax,Racial Issues,-0.17965508,0,0.043379007,0.310797251,0.17965508,0.13422157,0.418040824,Donald Trump,0.046887767,0.331661222,Women,Jobs,Tax,0.008390254,0,0.041207551,0.346506072,-0.008390254,0.074904044,0.40744224,Donald Trump,0.11224892,0.292073672,Make America Great Again,Women,Jobs,0.003925489,-0.007549505,0.156978818,0.307529337,-0.011474994,0.208490427,0.280991211
Mississippi,Donald Trump,Donald Trump,0.085675293,0.280178801,Jobs,Benghazi,Tax,0.890596816,0.393685812,0.140395284,0.268294959,-0.496911004,-0.023640987,0.320589211,Donald Trump,0.109612501,0.29876506,Jobs,Women,Benghazi,0.721833121,0.318343722,0.113905397,0.297124111,-0.403489399,-0.001873423,0.287117197,Donald Trump,0.059626722,0.312044144,Women,Jobs,Obama,0.560532758,0.285627098,0.086014916,0.30201348,-0.27490566,-0.016368717,0.345003348,Donald Trump,0.055363422,0.307231082,Jobs,Obama,Benghazi,0.473241822,0.331837017,0.105256922,0.345492345,-0.141404806,0.012034057,0.284129495,Donald Trump,0.136762842,0.277926985,Make America Great Again,Racial Issues,Women,0.377093958,0.323284382,0.21796499,0.28593221,-0.053809575,0.153873618,0.230735268
Missouri,Donald Trump,Donald Trump,0.081909874,0.283319352,Jobs,Racial Issues,Benghazi,0.294567316,0,0.080168925,0.28531599,-0.294567316,0.052262746,0.325463436,Donald Trump,0.093879768,0.294551717,Jobs,Make America Great Again,Tax,0.083201312,0,0.067992801,0.308230946,-0.083201312,0.055050287,0.289575066,Hillary Clinton,0.05487295,0.301244554,Benghazi,Make America Great Again,Jobs,-0.009657708,0,0.040258328,0.291215194,0.009657708,0.065997806,0.371773004,Donald Trump,0.053361273,0.313385842,Jobs,Benghazi,Obama,0.162484192,0,0.059896593,0.301939522,-0.162484192,0.046733499,0.344548338,Donald Trump,0.112168882,0.281679199,Racial Issues,Make America Great Again,Women,0.036683296,-0.044908195,0.146150598,0.270708698,-0.081591491,0.144363571,0.350881899
Montana,Donald Trump,Donald Trump,0.082351844,0.29436961,Benghazi,Make America Great Again,Jobs,0.329280038,0.171224232,0.119998847,0.284634957,-0.158055806,0.065911062,0.297938888,Donald Trump,0.120484425,0.317452434,Women,Law,Make America Great Again,0.436321833,0.102581996,0.065466508,0.341409718,-0.333739837,0.076332221,0.342179435,Donald Trump,0.032316371,0.294113324,Women,Make America Great Again,Jobs,0.048728776,0,-0.022277818,0.341389274,-0.048728776,0.016371134,0.315818679,Donald Trump,0.051808898,0.317591492,Benghazi,Make America Great Again,Obama,0.521880059,0.379504132,0.047138506,0.327217775,-0.142375926,0.018296348,0.307642773,Donald Trump,0.081145307,0.280511033,Make America Great Again,Women,Jobs,0.41879954,0.145634682,0.097273779,0.263008916,-0.273164858,-0.085546875,0.141731771
